Linux 6.14.0-33-generic (revathy-Lenovo-ideapad-130-15IKB) 	11/23/2025 	_x86_64_	(8 CPU)

01:09:55 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
01:10:03 PM     0       496    0.00    1.00    0.00    0.00    1.00     0  irq/80-ELAN0620:01
01:10:03 PM  1000      2244    1.00    0.00    0.00    0.00    1.00     6  gnome-shell
01:10:03 PM  1000     29425    1.00    0.00    0.00    0.00    1.00     4  code
01:10:03 PM  1000     31476    0.00    1.00    0.00    0.00    1.00     4  Socket Process
01:10:03 PM     0     32339    0.00    3.00    0.00    0.00    3.00     5  kworker/u32:0-events_unbound
01:10:03 PM  1000     32490   24.00   21.00    0.00    0.00   45.00     1  gnome-terminal-
01:10:03 PM     0     33399    0.00    2.00    0.00    0.00    2.00     4  kworker/u32:2-events_unbound
01:10:03 PM  1000     34894   75.00   21.00    0.00    0.00   96.00     0  server
01:10:03 PM   122     34896    0.00    1.00    0.00    0.00    1.00     7  postgres
01:10:03 PM   122     34902    1.00    0.00    0.00    0.00    1.00     2  postgres
01:10:03 PM   122     34903    0.00    1.00    0.00    0.00    1.00     5  postgres
01:10:03 PM   122     34904    1.00    0.00    0.00    0.00    1.00     5  postgres
01:10:03 PM   122     34907    1.00    0.00    0.00    0.00    1.00     1  postgres
01:10:03 PM   122     34912    1.00    0.00    0.00    0.00    1.00     4  postgres
01:10:03 PM   122     34913    0.00    1.00    0.00    0.00    1.00     5  postgres
01:10:03 PM   122     34924    1.00    0.00    0.00    0.00    1.00     6  postgres
01:10:03 PM   122     34925    1.00    0.00    0.00    0.00    1.00     4  postgres
01:10:03 PM   122     34927    1.00    1.00    0.00    0.00    2.00     7  postgres
01:10:03 PM   122     34929    1.00    0.00    0.00    0.00    1.00     5  postgres
01:10:03 PM   122     34932    1.00    0.00    0.00    0.00    1.00     1  postgres
01:10:03 PM   122     34936    1.00    0.00    0.00    0.00    1.00     3  postgres
01:10:03 PM   122     34939    1.00    0.00    0.00    0.00    1.00     7  postgres
01:10:03 PM   122     34946    0.00    1.00    0.00    0.00    1.00     3  postgres
01:10:03 PM   122     34955    1.00    0.00    0.00    0.00    1.00     7  postgres
01:10:03 PM   122     34963    0.00    1.00    0.00    0.00    1.00     5  postgres
01:10:03 PM   122     34964    1.00    0.00    0.00    0.00    1.00     6  postgres
01:10:03 PM   122     34969    1.00    0.00    0.00    0.00    1.00     4  postgres
01:10:03 PM   122     34970    1.00    0.00    0.00    0.00    1.00     7  postgres
01:10:03 PM   122     34985    1.00    0.00    0.00    0.00    1.00     5  postgres
01:10:03 PM     0     34996    0.00    2.00    0.00    0.00    2.00     7  kworker/u32:4-events_power_efficient
01:10:03 PM  1000     34999    1.00    2.00    0.00    0.00    3.00     7  pidstat
01:10:03 PM  1000     35001   86.00   28.00    0.00    0.00  114.00     1  load_generator

01:10:03 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
01:10:04 PM   123      1231    1.00    0.00    0.00    0.00    1.00     6  mysqld
01:10:04 PM  1000      2244    1.00    1.00    0.00    0.00    2.00     5  gnome-shell
01:10:04 PM     0     32339    0.00    2.00    0.00    0.00    2.00     2  kworker/u32:0-events_unbound
01:10:04 PM  1000     32490   24.00   21.00    0.00    0.00   45.00     5  gnome-terminal-
01:10:04 PM     0     33399    0.00    3.00    0.00    0.00    3.00     6  kworker/u32:2-events_unbound
01:10:04 PM  1000     34894   72.00   24.00    0.00    0.00   96.00     0  server
01:10:04 PM   122     34896    1.00    0.00    0.00    0.00    1.00     3  postgres
01:10:04 PM   122     34901    1.00    0.00    0.00    0.00    1.00     7  postgres
01:10:04 PM   122     34909    1.00    0.00    0.00    0.00    1.00     6  postgres
01:10:04 PM   122     34910    1.00    0.00    0.00    0.00    1.00     6  postgres
01:10:04 PM   122     34911    1.00    0.00    0.00    0.00    1.00     6  postgres
01:10:04 PM   122     34917    1.00    0.00    0.00    0.00    1.00     5  postgres
01:10:04 PM   122     34918    1.00    0.00    0.00    0.00    1.00     7  postgres
01:10:04 PM   122     34920    0.00    1.00    0.00    0.00    1.00     5  postgres
01:10:04 PM   122     34928    1.00    0.00    0.00    0.00    1.00     5  postgres
01:10:04 PM   122     34931    1.00    0.00    0.00    0.00    1.00     3  postgres
01:10:04 PM   122     34937    1.00    1.00    0.00    0.00    2.00     6  postgres
01:10:04 PM   122     34945    1.00    0.00    0.00    0.00    1.00     5  postgres
01:10:04 PM   122     34948    1.00    0.00    0.00    0.00    1.00     6  postgres
01:10:04 PM   122     34950    1.00    0.00    0.00    0.00    1.00     5  postgres
01:10:04 PM   122     34953    1.00    0.00    0.00    0.00    1.00     5  postgres
01:10:04 PM   122     34957    1.00    0.00    0.00    0.00    1.00     5  postgres
01:10:04 PM   122     34966    1.00    0.00    0.00    0.00    1.00     5  postgres
01:10:04 PM   122     34974    1.00    0.00    0.00    0.00    1.00     5  postgres
01:10:04 PM   122     34981    1.00    0.00    0.00    0.00    1.00     7  postgres
01:10:04 PM   122     34982    1.00    0.00    0.00    0.00    1.00     5  postgres
01:10:04 PM   122     34984    1.00    0.00    0.00    0.00    1.00     5  postgres
01:10:04 PM   122     34986    1.00    0.00    0.00    0.00    1.00     5  postgres
01:10:04 PM   122     34988    1.00    0.00    0.00    0.00    1.00     7  postgres
01:10:04 PM     0     34996    0.00    2.00    0.00    0.00    2.00     5  kworker/u32:4-events_unbound
01:10:04 PM  1000     34999    1.00    1.00    0.00    0.00    2.00     3  pidstat
01:10:04 PM  1000     35001   81.00   30.00    0.00    0.00  111.00     1  load_generator

01:10:04 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
01:10:05 PM     0       730    0.00    1.00    0.00    0.00    1.00     0  irq/135-rtw88_pci
01:10:05 PM  1000     29189    1.00    0.00    0.00    0.00    1.00     5  code
01:10:05 PM     0     32339    0.00    4.00    0.00    0.00    4.00     6  kworker/u32:0-events_unbound
01:10:05 PM  1000     32490   22.00   22.00    0.00    0.00   44.00     2  gnome-terminal-
01:10:05 PM     0     33399    0.00    1.00    0.00    0.00    1.00     4  kworker/u32:2-events_unbound
01:10:05 PM  1000     34894   72.00   23.00    0.00    0.00   95.00     0  server
01:10:05 PM   122     34898    1.00    0.00    0.00    0.00    1.00     7  postgres
01:10:05 PM   122     34905    1.00    0.00    0.00    0.00    1.00     7  postgres
01:10:05 PM   122     34906    0.00    1.00    0.00    0.00    1.00     2  postgres
01:10:05 PM   122     34908    1.00    0.00    0.00    0.00    1.00     7  postgres
01:10:05 PM   122     34916    1.00    0.00    0.00    0.00    1.00     6  postgres
01:10:05 PM   122     34919    0.00    1.00    0.00    0.00    1.00     3  postgres
01:10:05 PM   122     34920    1.00    0.00    0.00    0.00    1.00     7  postgres
01:10:05 PM   122     34921    1.00    0.00    0.00    0.00    1.00     3  postgres
01:10:05 PM   122     34922    1.00    0.00    0.00    0.00    1.00     7  postgres
01:10:05 PM   122     34930    1.00    0.00    0.00    0.00    1.00     5  postgres
01:10:05 PM   122     34933    1.00    0.00    0.00    0.00    1.00     7  postgres
01:10:05 PM   122     34935    1.00    0.00    0.00    0.00    1.00     6  postgres
01:10:05 PM   122     34940    1.00    0.00    0.00    0.00    1.00     3  postgres
01:10:05 PM   122     34941    1.00    0.00    0.00    0.00    1.00     7  postgres
01:10:05 PM   122     34943    1.00    0.00    0.00    0.00    1.00     5  postgres
01:10:05 PM   122     34944    1.00    0.00    0.00    0.00    1.00     6  postgres
01:10:05 PM   122     34949    1.00    0.00    0.00    0.00    1.00     7  postgres
01:10:05 PM   122     34951    1.00    0.00    0.00    0.00    1.00     6  postgres
01:10:05 PM   122     34952    1.00    0.00    0.00    0.00    1.00     4  postgres
01:10:05 PM   122     34958    0.00    1.00    0.00    0.00    1.00     6  postgres
01:10:05 PM   122     34959    1.00    0.00    0.00    0.00    1.00     5  postgres
01:10:05 PM   122     34960    1.00    0.00    0.00    0.00    1.00     7  postgres
01:10:05 PM   122     34962    1.00    0.00    0.00    0.00    1.00     3  postgres
01:10:05 PM   122     34963    1.00    0.00    0.00    0.00    1.00     3  postgres
01:10:05 PM   122     34972    1.00    0.00    0.00    0.00    1.00     7  postgres
01:10:05 PM   122     34975    1.00    0.00    0.00    0.00    1.00     5  postgres
01:10:05 PM   122     34977    0.00    1.00    0.00    0.00    1.00     1  postgres
01:10:05 PM   122     34987    1.00    0.00    0.00    0.00    1.00     3  postgres
01:10:05 PM     0     34996    0.00    2.00    0.00    0.00    2.00     6  kworker/u32:4-events_unbound
01:10:05 PM  1000     34999    0.00    1.00    0.00    0.00    1.00     3  pidstat
01:10:05 PM  1000     35001   86.00   26.00    0.00    0.00  112.00     1  load_generator

01:10:05 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
01:10:06 PM  1000      2244    1.00    0.00    0.00    0.00    1.00     7  gnome-shell
01:10:06 PM  1000     31777    0.00    1.00    0.00    0.00    1.00     5  Isolated Web Co
01:10:06 PM     0     32339    0.00    3.00    0.00    0.00    3.00     7  kworker/u32:0-events_unbound
01:10:06 PM  1000     32490   22.00   23.00    0.00    0.00   45.00     3  gnome-terminal-
01:10:06 PM  1000     32683    1.00    1.00    0.00    0.00    2.00     2  top
01:10:06 PM     0     33399    0.00    2.00    0.00    0.00    2.00     6  kworker/u32:2-events_unbound
01:10:06 PM  1000     34894   72.00   23.00    0.00    0.00   95.00     0  server
01:10:06 PM   122     34900    1.00    0.00    0.00    0.00    1.00     3  postgres
01:10:06 PM   122     34901    0.00    1.00    0.00    0.00    1.00     6  postgres
01:10:06 PM   122     34903    1.00    0.00    0.00    0.00    1.00     6  postgres
01:10:06 PM   122     34906    1.00    0.00    0.00    0.00    1.00     5  postgres
01:10:06 PM   122     34913    1.00    0.00    0.00    0.00    1.00     4  postgres
