Linux 6.14.0-33-generic (revathy-Lenovo-ideapad-130-15IKB) 	11/23/2025 	_x86_64_	(8 CPU)

12:51:24 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
12:51:30 PM   122     33906    1.00    0.00    0.00    0.00    1.00     5  postgres
12:51:30 PM   122     33907    1.00    0.00    0.00    0.00    1.00     7  postgres
12:51:30 PM   122     33912    1.00    0.00    0.00    0.00    1.00     7  postgres
12:51:30 PM   122     33916    1.00    0.00    0.00    0.00    1.00     7  postgres
12:51:30 PM   122     33917    1.00    0.00    0.00    0.00    1.00     5  postgres
12:51:30 PM   122     33920    1.00    0.00    0.00    0.00    1.00     1  postgres
12:51:30 PM   122     33922    1.00    0.00    0.00    0.00    1.00     7  postgres
12:51:30 PM   122     33934    1.00    0.00    0.00    0.00    1.00     5  postgres
12:51:30 PM   122     33936    1.00    0.00    0.00    0.00    1.00     7  postgres
12:51:30 PM   122     33939    1.00    0.00    0.00    0.00    1.00     6  postgres
12:51:30 PM   122     33944    1.00    0.00    0.00    0.00    1.00     7  postgres
12:51:30 PM  1000     33968   83.00   27.00    0.00    0.00  110.00     4  load_generator
12:51:30 PM  1000     33983    1.00    1.00    0.00    0.00    2.00     1  pidstat

12:51:30 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
12:51:31 PM     0        17    0.00    1.00    0.00    0.00    1.00     0  ksoftirqd/0
12:51:31 PM  1000      2244    0.00    1.00    0.00    0.00    1.00     1  gnome-shell
12:51:31 PM     0     32452    0.00    3.00    0.00    0.00    3.00     6  kworker/u32:3-events_unbound
12:51:31 PM  1000     32490   25.00   21.00    0.00    0.00   46.00     3  gnome-terminal-
12:51:31 PM  1000     32683    0.00    1.00    0.00    0.00    1.00     7  top
12:51:31 PM     0     33399    0.00    1.00    0.00    0.00    1.00     6  kworker/u32:2-events_unbound
12:51:31 PM     0     33725    0.00    3.00    0.00    0.00    3.00     7  kworker/u32:4-events_unbound
12:51:31 PM  1000     33852   74.00   21.00    0.00    0.00   95.00     0  server
12:51:31 PM   122     33853    1.00    0.00    0.00    0.00    1.00     1  postgres
12:51:31 PM   122     33855    1.00    0.00    0.00    0.00    1.00     1  postgres
12:51:31 PM   122     33857    0.00    1.00    0.00    0.00    1.00     5  postgres
12:51:31 PM   122     33858    1.00    0.00    0.00    0.00    1.00     6  postgres
12:51:31 PM   122     33866    0.00    1.00    0.00    0.00    1.00     7  postgres
12:51:31 PM   122     33867    1.00    0.00    0.00    0.00    1.00     5  postgres
12:51:31 PM   122     33875    1.00    0.00    0.00    0.00    1.00     2  postgres
12:51:31 PM   122     33876    1.00    1.00    0.00    0.00    2.00     5  postgres
12:51:31 PM   122     33881    1.00    0.00    0.00    0.00    1.00     6  postgres
12:51:31 PM   122     33887    0.00    1.00    0.00    0.00    1.00     7  postgres
12:51:31 PM   122     33891    1.00    1.00    0.00    0.00    2.00     7  postgres
12:51:31 PM   122     33895    1.00    1.00    0.00    0.00    2.00     1  postgres
12:51:31 PM   122     33898    1.00    0.00    0.00    0.00    1.00     7  postgres
12:51:31 PM   122     33902    1.00    0.00    0.00    0.00    1.00     6  postgres
12:51:31 PM   122     33904    0.00    1.00    0.00    0.00    1.00     5  postgres
12:51:31 PM   122     33908    1.00    0.00    0.00    0.00    1.00     5  postgres
12:51:31 PM   122     33926    1.00    0.00    0.00    0.00    1.00     6  postgres
12:51:31 PM   122     33930    1.00    0.00    0.00    0.00    1.00     3  postgres
12:51:31 PM   122     33937    1.00    0.00    0.00    0.00    1.00     6  postgres
12:51:31 PM   122     33938    1.00    0.00    0.00    0.00    1.00     5  postgres
12:51:31 PM   122     33941    1.00    0.00    0.00    0.00    1.00     5  postgres
12:51:31 PM   122     33946    1.00    0.00    0.00    0.00    1.00     7  postgres
12:51:31 PM  1000     33968   85.00   30.00    0.00    0.00  115.00     4  load_generator
12:51:31 PM  1000     33983    1.00    1.00    0.00    0.00    2.00     2  pidstat

12:51:31 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
12:51:32 PM  1000      2244    2.00    0.00    0.00    0.00    2.00     2  gnome-shell
12:51:32 PM  1000     29425    0.00    1.00    0.00    0.00    1.00     5  code
12:51:32 PM  1000     30967    1.00    0.00    0.00    0.00    1.00     4  code
12:51:32 PM  1000     31777    2.00    0.00    0.00    0.00    2.00     7  Isolated Web Co
12:51:32 PM     0     32452    0.00    4.00    0.00    0.00    4.00     6  kworker/u32:3-events_unbound
12:51:32 PM  1000     32490   25.00   20.00    0.00    0.00   45.00     7  gnome-terminal-
12:51:32 PM     0     33399    0.00    1.00    0.00    0.00    1.00     5  kworker/u32:2-events_unbound
12:51:32 PM     0     33725    0.00    3.00    0.00    0.00    3.00     6  kworker/u32:4-events_unbound
12:51:32 PM  1000     33852   72.00   24.00    0.00    0.00   96.00     0  server
12:51:32 PM   122     33854    0.00    1.00    0.00    0.00    1.00     7  postgres
12:51:32 PM   122     33862    1.00    0.00    0.00    0.00    1.00     4  postgres
12:51:32 PM   122     33864    1.00    0.00    0.00    0.00    1.00     6  postgres
12:51:32 PM   122     33869    1.00    0.00    0.00    0.00    1.00     7  postgres
12:51:32 PM   122     33872    1.00    0.00    0.00    0.00    1.00     5  postgres
12:51:32 PM   122     33877    1.00    0.00    0.00    0.00    1.00     6  postgres
12:51:32 PM   122     33883    1.00    0.00    0.00    0.00    1.00     5  postgres
12:51:32 PM   122     33887    1.00    0.00    0.00    0.00    1.00     2  postgres
12:51:32 PM   122     33890    1.00    0.00    0.00    0.00    1.00     7  postgres
12:51:32 PM   122     33897    1.00    0.00    0.00    0.00    1.00     6  postgres
12:51:32 PM   122     33899    1.00    0.00    0.00    0.00    1.00     6  postgres
12:51:32 PM   122     33909    1.00    0.00    0.00    0.00    1.00     4  postgres
12:51:32 PM   122     33918    1.00    0.00    0.00    0.00    1.00     5  postgres
12:51:32 PM   122     33925    1.00    0.00    0.00    0.00    1.00     7  postgres
12:51:32 PM   122     33932    1.00    0.00    0.00    0.00    1.00     1  postgres
12:51:32 PM   122     33933    1.00    1.00    0.00    0.00    2.00     6  postgres
12:51:32 PM   122     33935    0.00    1.00    0.00    0.00    1.00     3  postgres
12:51:32 PM   122     33940    0.00    1.00    0.00    0.00    1.00     7  postgres
12:51:32 PM   122     33942    1.00    0.00    0.00    0.00    1.00     5  postgres
12:51:32 PM   122     33943    1.00    0.00    0.00    0.00    1.00     5  postgres
12:51:32 PM   122     33945    1.00    0.00    0.00    0.00    1.00     4  postgres
12:51:32 PM   122     33947    1.00    0.00    0.00    0.00    1.00     1  postgres
12:51:32 PM  1000     33968   84.00   32.00    0.00    0.00  116.00     4  load_generator
12:51:32 PM  1000     33983    2.00    3.00    0.00    0.00    5.00     1  pidstat

12:51:32 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
12:51:33 PM   123      1231    1.00    0.00    0.00    0.00    1.00     6  mysqld
12:51:33 PM  1000      2244    1.00    0.00    0.00    0.00    1.00     7  gnome-shell
12:51:33 PM  1000      2640    0.00    1.00    0.00    0.00    1.00     1  goa-identity-se
12:51:33 PM  1000     29425    1.00    0.00    0.00    0.00    1.00     6  code
12:51:33 PM  1000     31779    1.00    0.00    0.00    0.00    1.00     6  Isolated Web Co
12:51:33 PM     0     32452    0.00    4.00    0.00    0.00    4.00     7  kworker/u32:3-events_unbound
